Балкон или лоджия;Мебель;Адрес;Жилая площадь;Количество комнат;Ремонт;Интернет и ТВ;Цена;Техника;Общая площадь;Площадь кухни;Санузел;Этаж;Оплата по счётчикам;Тип комнат
 балкон; хранение одежды, спальные места;Республика Татарстан, Пестречинский р-н, Кощаковское сельское поселение, д. Царёво, ул. Петра Гаврилова, 9; 18 м²; 1; косметический;;14 000; холодильник, плита, микроволновка, стиральная машина, телевизор; 35 м²; 10 м²; совмещенный; 2 из 3;;
 балкон; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, Кировский район, Полевая ул., 28;; 1; евро; Wi-Fi, телевидение;15 000; кондиционер, холодильник, плита, микроволновка, стиральная машина, телевизор; 30 м²; 6 м²; совмещенный; 2 из 5;;
 балкон; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, ул. Рихарда Зорге, 1/11; 23 м²; 1; евро; Wi-Fi;19 000; холодильник, плита, микроволновка, стиральная машина, водонагреватель, телевизор; 40 м²; 10 м²; совмещенный; 5 из 9;;
 балкон; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, пр-т Ямашева, 17; 20 м²; 1; косметический; Wi-Fi, телевидение;15 000; холодильник, плита, микроволновка, стиральная машина; 33 м²; 8 м²; совмещенный; 7 из 9;;
 балкон; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, Чистопольская ул., 12; 20 м²; 1; евро; Wi-Fi, телевидение;30 000; холодильник, плита, микроволновка, стиральная машина, водонагреватель, телевизор; 40 м²; 10 м²; совмещенный; 9 из 14; включена в плату;
; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, ул. Габдуллы Тукая, 75Г;; 1; евро; Wi-Fi, телевидение;20 000; кондиционер, холодильник, плита, микроволновка, стиральная машина, телевизор; 43.8 м²; 8 м²; совмещенный; 4 из 7;;
;;Республика Татарстан, Казань, ул. Рауиса Гареева, 107; 24 м²; 2; косметический;;30 000;; 42 м²; 12 м²;; 10 из 19;; изолированные, смежные
;;Республика Татарстан, Казань, ул. Волкова, 70;; 1; евро;;29 000;; 38 м²; 15 м²;; 6 из 7;;
 лоджия; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, ул. Александра Курынова, 10к2;; 1; косметический;;20 000; холодильник, плита, микроволновка, стиральная машина, телевизор; 31 м²; 9 м²; совмещенный; 10 из 18;;
 балкон; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, ул. Исмаила Гаспринского, 31;; 1; евро; Wi-Fi, телевидение;18 000; холодильник, плита, микроволновка, стиральная машина, водонагреватель, телевизор; 38 м²; 8 м²; совмещенный; 4 из 5;;
 балкон; кухня;Республика Татарстан, Казань, ул. Николая Ершова, 65Б/1;; студия; евро; Wi-Fi, телевидение;28 000; холодильник, плита, микроволновка, стиральная машина, телевизор; 30 м²;; совмещенный; 6 из 19;;
 лоджия; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, ул. Галеева, 8Ак1;; 2; евро; Wi-Fi, телевидение;30 000; кондиционер, холодильник, плита, микроволновка, стиральная машина, посудомоечная машина, водонагреватель, телевизор; 57 м²; 15 м²; совмещенный, раздельный; 10 из 20;; изолированные, смежные
 лоджия; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, Тэцевская ул., 4Е;; 1; евро; Wi-Fi, телевидение;22 000; холодильник, плита, микроволновка, стиральная машина, телевизор; 35 м²; 6 м²; совмещенный; 6 из 10;;
 балкон;;Республика Татарстан, Казань, ул. Лядова, 5;; 3; косметический; Wi-Fi, телевидение;25 000; холодильник, плита, микроволновка, стиральная машина; 68 м²; 8 м²;; 4 из 6;; изолированные
 балкон; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, ул. Рауиса Гареева, 4;; 1; косметический;;15 000; холодильник, плита, стиральная машина; 43 м²; 7 м²; совмещенный; 17 из 18;;
; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, ул. Братьев Батталовых, 20А; 15 м²; 1; евро; Wi-Fi;22 000; холодильник, плита, стиральная машина; 35 м²; 10 м²; совмещенный; 18 из 25;;
; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, ул. Маршала Чуйкова, 53;; 1; евро;;17 000; холодильник, плита, микроволновка, стиральная машина; 38 м²; 8 м²;; 3 из 9;;
 балкон; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, Чистопольская ул., 61А;; 1; евро; Wi-Fi, телевидение;20 000; кондиционер, холодильник, плита, микроволновка, стиральная машина, водонагреватель, телевизор; 40.7 м²; 8 м²; совмещенный; 8 из 25;;
 балкон; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, ул. Аметьевская Магистраль, 16к1;; 2; дизайнерский; Wi-Fi, телевидение;25 000; кондиционер, холодильник, плита, микроволновка, стиральная машина, посудомоечная машина, водонагреватель, телевизор; 65.5 м²; 12 м²; совмещенный; 18 из 19;; изолированные
 балкон; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, ул. Павлюхина, 108Б; 20 м²; 1; евро; Wi-Fi, телевидение;33 000; холодильник, плита, стиральная машина, телевизор; 45.3 м²; 9.7 м²; совмещенный; 7 из 10;;
; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, ул. Энергетиков, 4; 15 м²; 1; косметический;;15 000; кондиционер, холодильник, плита, микроволновка, стиральная машина, водонагреватель, телевизор; 20 м²; 4 м²; раздельный; 2 из 5;;
 балкон; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, пр-т Победы, 20;; 2; евро; Wi-Fi, телевидение;27 000; холодильник, плита, микроволновка, стиральная машина, телевизор; 56 м²; 8 м²; раздельный; 4 из 9;; изолированные
 балкон, лоджия; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, ул. Павлюхина, 108Б;; 1; дизайнерский; Wi-Fi, телевидение;30 000; кондиционер, холодильник, плита, микроволновка, стиральная машина, водонагреватель, телевизор; 55 м²; 17 м²; совмещенный; 7 из 17;;
;;Республика Татарстан, Казань, ул. Павлюхина, 97; 28.3 м²; 2; косметический;;18 500;; 44.9 м²; 7.5 м²;; 1 из 5;; изолированные
;;Республика Татарстан, Казань, ул. Братьев Касимовых, 6А;; 2; евро;;23 000;; 60 м²; 10 м²;; 3 из 9;; изолированные
 балкон; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, ул. Карбышева, 29;; 1; косметический; Wi-Fi, телевидение;17 000; холодильник, плита, микроволновка, стиральная машина, телевизор; 33 м²; 6 м²; совмещенный; 5 из 10;;
 лоджия; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, ул. Волкова, 60/12;; 2; евро; Wi-Fi, телевидение;32 000; кондиционер, холодильник, плита, стиральная машина, телевизор; 85 м²; 12 м²; совмещенный; 7 из 9;; изолированные
 балкон; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, пр-т Ямашева, 51; 18 м²; 1; евро;;21 000; кондиционер, холодильник, плита, микроволновка, стиральная машина, водонагреватель, телевизор; 38 м²; 9 м²; совмещенный; 7 из 15;;
;;Республика Татарстан, Казань, Тэцевская ул., 4;; 1; евро;;17 000;; 33 м²; 9 м²;; 6 из 9;;
 балкон; кухня, хранение одежды, спальные места;Республика Татарстан, Лаишевский р-н, Столбищенское сельское поселение, с. Усады, жилой комплекс Южный Парк, Сиреневая ул., 4; 40 м²; 2; евро; Wi-Fi, телевидение;26 000; холодильник, плита, микроволновка, стиральная машина, телевизор; 60 м²; 13 м²; совмещенный; 2 из 5;; изолированные
 балкон; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, ул. Алексея Козина, 5;; 2; дизайнерский; Wi-Fi, телевидение;30 000; холодильник, плита, микроволновка, стиральная машина, телевизор; 56.7 м²; 12 м²; совмещенный; 15 из 16;; изолированные
; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, ул. Олега Кошевого, 12;; 1; евро; Wi-Fi, телевидение;23 000; кондиционер, холодильник, плита, микроволновка, стиральная машина, телевизор; 34 м²; 6 м²; совмещенный; 1 из 5; включена в плату;
;;Республика Татарстан, Казань, Приволжский район, микрорайон Горки-3, Дубравная ул., 23;; 3; евро;;25 000;; 65 м²; 10 м²;; 6 из 9;; изолированные
 лоджия; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, Чистопольская ул., 5;; 2; евро; Wi-Fi, телевидение;22 000; холодильник, плита, микроволновка, стиральная машина, телевизор; 47.9 м²; 10 м²; раздельный; 2 из 9;; изолированные
;;Республика Татарстан, Казань, посёлок Дербышки, ул. Мира, 36;; 2; евро;;20 000;; 70 м²; 10 м²;; 2 из 9;; изолированные
 балкон;;Республика Татарстан, Казань, ул. Четаева, 9;; 2; косметический; телевидение;23 000; холодильник, плита, микроволновка, стиральная машина; 53 м²; 9 м²; раздельный; 5 из 9;; изолированные
 балкон;;Республика Татарстан, Казань, Щербаковский пер., 7; 40 м²; 2; дизайнерский; Wi-Fi, телевидение;55 000; кондиционер, холодильник, плита, микроволновка, стиральная машина, посудомоечная машина, водонагреватель, телевизор; 60 м²; 18 м²; совмещенный; 20 из 25;; смежные
 лоджия; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, ул. Вишневского, 57А;; 2; дизайнерский; Wi-Fi, телевидение;40 000; кондиционер, холодильник, плита, микроволновка, стиральная машина, посудомоечная машина, водонагреватель, телевизор; 55 м²; 15 м²; совмещенный, раздельный; 20 из 20;; изолированные, смежные
 балкон, лоджия; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, ул. Чингиза Айтматова, 13;; 1; евро; Wi-Fi, телевидение;18 000; кондиционер, плита, микроволновка, стиральная машина; 38 м²; 9 м²; совмещенный; 16 из 16;;
 лоджия;;Республика Татарстан, Казань, ул. Генерала Махмута Гареева, 3А;; 2; косметический;;13 000;; 52 м²; 12 м²; совмещенный; 6 из 10;; смежные
 балкон; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, Залесная ул., 5А; 25 м²; 1; косметический;;20 000; холодильник, плита, стиральная машина, телевизор; 35 м²; 8 м²; совмещенный; 4 из 5; включена в плату;
 лоджия; кухня, спальные места;Республика Татарстан, Казань, ул. Дементьева, 3; 18 м²; 1; косметический;;15 000; холодильник, плита, микроволновка, стиральная машина, телевизор, утюг; 35 м²; 8 м²; совмещенный; 4 из 9;;
 лоджия; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, ул. Сабира Ахтямова, 1к3; 16 м²; 1; евро; Wi-Fi, телевидение;26 000; кондиционер, холодильник, плита, микроволновка, стиральная машина, водонагреватель, телевизор; 36 м²; 9 м²; совмещенный; 11 из 19;;
 балкон; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, ул. Родины, 24В;; 1; евро; Wi-Fi, телевидение;22 000; кондиционер, холодильник, плита, микроволновка, стиральная машина, телевизор; 39.5 м²; 8 м²; совмещенный; 10 из 19;;
 лоджия;;Республика Татарстан, Казань, ул. Восстания, 107; 50 м²; 2; евро;;25 000;; 70 м²; 14 м²; раздельный; 8 из 14;; изолированные
 балкон;;Республика Татарстан, Казань, пр-т Победы, 139Ак2; 25 м²; 1; евро;;20 000;; 40 м²; 8 м²; совмещенный; 12 из 18;;
 балкон; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, ул. Бондаренко, 34;; 1; евро; Wi-Fi, телевидение;35 000; кондиционер, холодильник, плита, микроволновка, стиральная машина, посудомоечная машина, водонагреватель, телевизор; 50 м²; 17 м²; совмещенный; 13 из 20;;
; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, пр-т Победы, 139к2;; 1; евро; Wi-Fi, телевидение;20 000; кондиционер, холодильник, плита, микроволновка, стиральная машина, телевизор; 42 м²; 10 м²;; 14 из 18;;
 балкон; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, ул. Вишневского, 61А; 20 м²; 2; евро; Wi-Fi, телевидение;28 000; кондиционер, холодильник, плита, микроволновка, стиральная машина, телевизор; 51 м²; 18 м²; совмещенный; 5 из 20;; изолированные
 лоджия; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, Советский район, жилой массив Большие Клыки, Магистральная ул., 16А; 18 м²; 1; косметический; Wi-Fi, телевидение;16 000; холодильник, плита, стиральная машина; 35 м²; 9 м²; совмещенный; 7 из 10;;
;;Республика Татарстан, Казань, ул. Сабира Ахтямова, 1к1; 14 м²; 1; косметический;;30 000;; 30 м²; 6 м²;; 10 из 17;;
;;Республика Татарстан, Казань, ул. Волкова, 48/22; 35 м²; 2; косметический; Wi-Fi, телевизор;26 999; холодильник, стиральная машина; 56 м²; 15 м²;; 3 из 8;; изолированные
 лоджия;;Республика Татарстан, Казань, ул. Баки Урманче, 8; 82 м²; 3; евро;;35 000;; 96 м²; 14 м²; совмещенный, раздельный; 3 из 22;; изолированные
 балкон;;Республика Татарстан, Казань, ул. Вишневского, 61А;; 1; евро;;19 000;; 33 м²; 8 м²; совмещенный; 20 из 20;;
 балкон; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, Сибирский тракт, 13; 18.1 м²; 1; евро; Wi-Fi, телевидение;26 000; кондиционер, холодильник, плита, стиральная машина, телевизор; 43.3 м²; 13.7 м²; совмещенный; 19 из 23;;
 лоджия; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, ул. Братьев Батталовых, 20Ак2; 15 м²; 1; дизайнерский; Wi-Fi, телевидение;21 000; холодильник, плита, микроволновка, стиральная машина, телевизор; 30 м²; 5 м²; совмещенный; 20 из 25;;
 балкон;;Республика Татарстан, Казань, ул. Мустая Карима, 7/10; 55 м²; 3; косметический;;15 000; плита; 82 м²; 13 м²; раздельный; 5 из 18;; изолированные
 балкон; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, ул. Габдуллы Тукая, 65А;; 1; евро; Wi-Fi, телевидение;17 000; кондиционер, холодильник, плита, микроволновка, стиральная машина, телевизор; 30 м²; 8 м²; совмещенный; 3 из 5;;
 балкон; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, ул. Разведчика Ахмерова, 3;; 1; евро;;20 000; кондиционер, холодильник, плита, микроволновка, стиральная машина, телевизор; 39 м²; 10 м²; совмещенный; 14 из 19;;
 балкон; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, ул. Ульянова-Ленина, 19; 25 м²; 2; дизайнерский; Wi-Fi, телевидение;50 000; кондиционер, холодильник, плита, стиральная машина, посудомоечная машина, водонагреватель, телевизор; 70 м²; 20 м²; совмещенный; 2 из 6; включена в плату; смежные
 балкон; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, Комсомольская ул., 2;; 2; дизайнерский; Wi-Fi, телевидение;30 000; кондиционер, холодильник, плита, микроволновка, стиральная машина, телевизор; 59.9 м²; 12 м²; совмещенный; 7 из 20;; изолированные
 лоджия; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, ул. Юлиуса Фучика, 108; 7 м²; 1; евро; Wi-Fi, телевидение;17 000; холодильник, плита, микроволновка, стиральная машина, телевизор; 31 м²; 16 м²; совмещенный; 7 из 9;;
 лоджия; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, ул. Умырзая, 12;; студия; евро; Wi-Fi, телевидение;20 000; холодильник, плита, микроволновка, телевизор; 28 м²;; совмещенный; 6 из 19;;
 балкон; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, ул. Чишмяле, 9; 7 м²; 1; евро; Wi-Fi, телевидение;18 000; холодильник, плита, микроволновка, стиральная машина; 36 м²; 19 м²; совмещенный; 4 из 9;;
 балкон; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, ул. Достоевского, 57;; 1; евро;;22 000; холодильник, плита, микроволновка, стиральная машина, телевизор; 63.2 м²; 11 м²; совмещенный; 3 из 17;;
 лоджия; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, ул. Сибгата Хакима, 37; 17 м²; 1; косметический;;25 000; холодильник, плита, микроволновка, стиральная машина, водонагреватель, телевизор; 45 м²; 14 м²; совмещенный; 9 из 9;;
 балкон, лоджия; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, ул. Серова, 3;; 1; косметический;;18 000; холодильник, плита, микроволновка, стиральная машина, телевизор; 34 м²; 8 м²; раздельный; 9 из 9;;
 балкон; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, ул. Карбышева, 29;; 1; косметический; Wi-Fi, телевидение;17 000; холодильник, плита, микроволновка, стиральная машина, телевизор; 33 м²; 6 м²; совмещенный; 5 из 10;;
;;Республика Татарстан, Казань, Ново-Савиновский район, Октябрьская ул., 3;; 1; косметический;;18 000;; 34 м²; 7 м²;; 4 из 5;;
 балкон; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, ул. Максимова, 49; 21 м²; 1; евро; Wi-Fi, телевидение;22 000; холодильник, плита, микроволновка, стиральная машина, телевизор; 34 м²; 7 м²; раздельный; 5 из 9;;
;;Республика Татарстан, Казань, пр-т Ямашева, 31А; 43 м²; 2; евро;;27 999; холодильник, стиральная машина; 62 м²; 10 м²;; 10 из 14;; изолированные
 балкон; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, ул. Новаторов, 8Б;; 1; евро; Wi-Fi, телевидение;23 000; кондиционер, холодильник, плита, микроволновка, стиральная машина, телевизор; 35.1 м²; 8 м²; совмещенный; 13 из 22;;
;;Республика Татарстан, Казань, ул. Сибгата Хакима, 7; 40 м²; 1; дизайнерский;;49 999;; 60 м²; 10 м²;; 12 из 17;;
 балкон; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, ул. Юлиуса Фучика, 34;; 2; косметический;;17 000; холодильник, плита, микроволновка, стиральная машина, телевизор; 50.1 м²; 8 м²; совмещенный; 4 из 9;; изолированные
 лоджия; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, Спартаковская ул., 165; 18 м²; 1; евро; Wi-Fi, телевидение;20 000; кондиционер, холодильник, плита, микроволновка, стиральная машина, телевизор; 35 м²; 8 м²; совмещенный; 4 из 10;;
;;Республика Татарстан, Казань, ул. Маршала Чуйкова, 29Б;; 2; косметический;;20 000;; 49 м²; 10 м²;; 8 из 9;; изолированные
 балкон, лоджия; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, пр-т Ямашева, 69;; 1; дизайнерский; Wi-Fi, телевидение;30 000; кондиционер, холодильник, плита, микроволновка, стиральная машина, посудомоечная машина, водонагреватель, телевизор; 40 м²; 8 м²; совмещенный; 11 из 13;;
 балкон; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, ул. Алексея Козина, 7;; 1; евро; Wi-Fi, телевидение;22 000; кондиционер, холодильник, плита, микроволновка, стиральная машина, телевизор; 40.7 м²; 8 м²; совмещенный; 5 из 18;;
; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, ул. Островского, 86;; 1; евро;;18 000; холодильник, плита, микроволновка, стиральная машина; 50.8 м²; 10 м²; совмещенный; 2 из 6;;
 балкон; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, ул. Некрасова, 27;; 2; евро; Wi-Fi, телевидение;45 000; кондиционер, холодильник, плита, микроволновка, стиральная машина, посудомоечная машина, водонагреватель, телевизор; 70 м²; 17 м²; совмещенный; 2 из 7;; изолированные
 балкон; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, Чистопольская ул., 88;; 1; дизайнерский; Wi-Fi;35 000; кондиционер, холодильник, плита, микроволновка, стиральная машина, водонагреватель, телевизор; 45 м²; 25 м²; совмещенный; 18 из 22;;
; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, пр-т Ибрагимова, 47;; 1; косметический;;14 000; холодильник, плита, микроволновка, стиральная машина, телевизор; 31.5 м²; 7 м²; совмещенный; 1 из 5;;
 балкон; кухня, хранение одежды;Республика Татарстан, Казань, Тэцевская ул., 4; 20 м²; 1; косметический; телевидение;20 000; холодильник, плита, микроволновка, стиральная машина, телевизор; 40 м²; 11 м²; совмещенный; 5 из 10;;
 балкон; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, ул. Рауиса Гареева, 4; 35 м²; 2; евро; Wi-Fi, телевидение;22 000; холодильник, плита, стиральная машина, водонагреватель; 50 м²; 9 м²; раздельный; 3 из 18;; изолированные
 балкон;;Республика Татарстан, Казань, ул. Юлиуса Фучика, 4;; 2; косметический;;22 000;; 62 м²; 13 м²; раздельный; 10 из 16;; изолированные
 балкон; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, ул. Фатыха Амирхана, 13; 34 м²; 2; евро;;22 000; кондиционер, холодильник, плита, микроволновка, стиральная машина, водонагреватель, телевизор; 52 м²; 10 м²; совмещенный; 7 из 10;; смежные
 балкон; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, ул. Сибгата Хакима, 7;; 1; дизайнерский; Wi-Fi, телевидение;27 000; кондиционер, холодильник, плита, микроволновка, стиральная машина, телевизор; 39.9 м²; 8 м²; совмещенный; 14 из 17;;
 балкон; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, пр. Созидателей, 11;; 1; евро; Wi-Fi, телевидение;18 000; холодильник, плита, микроволновка, стиральная машина; 37 м²; 10 м²; совмещенный; 7 из 9;;
 балкон; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, ул. Абсалямова, 19;; 1; евро; Wi-Fi, телевидение;26 000; кондиционер, холодильник, плита, микроволновка, стиральная машина, телевизор; 39.4 м²; 8 м²; совмещенный; 7 из 20;;
 балкон; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, ул. Профессора Камая, 10к1; 55 м²; 2; евро; Wi-Fi, телевидение;30 000; кондиционер, холодильник, плита, микроволновка, стиральная машина, посудомоечная машина, водонагреватель, телевизор; 70 м²; 10 м²; совмещенный; 12 из 18;; изолированные
;;Республика Татарстан, Казань, ул. Декабристов, 131; 27 м²; 2; косметический;;20 000; холодильник; 43 м²; 7 м²; совмещенный; 4 из 9;; смежные
;;Республика Татарстан, Казань, ул. Побежимова, 57А; 19.1 м²; 1; косметический;;17 000; холодильник, телевизор; 37.7 м²; 10 м²; совмещенный; 2 из 9;;
 лоджия; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, ул. Наиля Юсупова, 8; 20 м²; 1; косметический;;13 000; холодильник, плита, стиральная машина; 41 м²; 10 м²; совмещенный; 8 из 18;;
 лоджия; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, ул. Аметьевская Магистраль, 18к3; 28 м²; 2; дизайнерский; Wi-Fi, телевидение;40 000; кондиционер, холодильник, плита, стиральная машина, водонагреватель, телевизор; 52 м²; 19 м²; совмещенный; 18 из 29;; смежные
 балкон; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, ул. Бондаренко, 6; 18 м²; 1; косметический; Wi-Fi, телевидение;16 000; холодильник, плита, микроволновка, стиральная машина; 32 м²; 7 м²; совмещенный; 4 из 9;;
;;Республика Татарстан, Казань, Краснококшайская ул., 84; 51 м²; 3; евро;;34 999; холодильник, стиральная машина; 82 м²; 20 м²;; 7 из 14;; изолированные
 балкон; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, ул. Короленко, 28Б;; 1; евро; Wi-Fi, телевидение;23 000; кондиционер, холодильник, плита, микроволновка, стиральная машина, телевизор; 35.9 м²; 8 м²; совмещенный; 15 из 21;;
 лоджия; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, ул. Декабристов, 191; 40 м²; 2; евро; телевидение;24 000; кондиционер, холодильник, плита, микроволновка, стиральная машина, водонагреватель, телевизор; 56 м²; 16 м²; совмещенный; 5 из 7;; изолированные
 балкон; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, Роторная ул., 27Б;; 1; евро; Wi-Fi, телевидение;30 000; холодильник, плита, микроволновка, стиральная машина, телевизор; 40 м²; 30 м²; совмещенный; 5 из 19;;
 балкон; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, ул. Рихарда Зорге, 111; 12 м²; студия; косметический; Wi-Fi, телевидение;15 000; холодильник, плита, микроволновка, стиральная машина, телевизор; 30 м²;; совмещенный; 4 из 9;;
;;Республика Татарстан, Казань, ул. Столярова, 15А;; 3; евро;;22 000;; 98 м²; 15 м²;; 3 из 9;; изолированные
 лоджия; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, Чистопольская ул., 36;; 1; дизайнерский; Wi-Fi, телевидение;60 000; кондиционер, холодильник, плита, микроволновка, стиральная машина, посудомоечная машина, водонагреватель, телевизор; 60 м²; 10 м²;; 7 из 16;;
 лоджия; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, Тэцевская ул., 4В; 18 м²; 1; евро;;25 000; кондиционер, холодильник, плита, микроволновка, стиральная машина, водонагреватель, телевизор; 38 м²; 12 м²; совмещенный; 3 из 16;;
; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, ул. Аделя Кутуя, 110Дк2;; 1; дизайнерский; Wi-Fi;28 000; кондиционер, холодильник, плита, микроволновка, стиральная машина, водонагреватель, телевизор; 38 м²; 12 м²;; 21 из 22;;
;;Республика Татарстан, Казань, пр-т Ибрагимова, 61;; 2; евро;;20 000;; 45 м²; 45 м²;; 6 из 9;; изолированные
 балкон; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, Комсомольская ул., 2;; 1; евро; Wi-Fi, телевидение;24 000; кондиционер, холодильник, плита, микроволновка, стиральная машина, водонагреватель, телевизор; 36.5 м²; 8 м²; совмещенный; 11 из 23;;
 балкон; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, ул. Николая Ершова, 62Г;; 1; косметический;;16 000; холодильник, плита, микроволновка, стиральная машина, телевизор; 36.4 м²; 9.4 м²; совмещенный; 10 из 10;;
 балкон, лоджия;;Республика Татарстан, Казань, Вахитовский район, ул. Чехова, 6Г;; 2; дизайнерский; Wi-Fi, телевидение;35 000; холодильник, плита, микроволновка, стиральная машина, телевизор, утюг; 60 м²; 15 м²;; 10 из 12;; изолированные
 балкон, лоджия; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, Вахитовский район, ул. Толстого, 14А;; 3; дизайнерский; Wi-Fi, телевидение;60 000; кондиционер, холодильник, плита, микроволновка, стиральная машина, посудомоечная машина, водонагреватель, телевизор; 130 м²; 18 м²; совмещенный, раздельный; 12 из 20;; изолированные, смежные
;;Республика Татарстан, Казань, ул. Гудованцева, 47;; 1; косметический;;15 000;; 18 м²; 18 м²;; 3 из 5;;
 лоджия; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, ул. Сабира Ахтямова, 1к1;; 2; дизайнерский;;32 000; холодильник, плита, стиральная машина, телевизор; 60 м²; 26 м²; совмещенный; 11 из 17;; изолированные, смежные
 балкон; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, ул. Хади Такташа, 119;; 2; евро; Wi-Fi, телевидение;25 000; кондиционер, холодильник, плита, микроволновка, стиральная машина, телевизор; 62.8 м²; 12 м²; раздельный; 13 из 17;; изолированные
 балкон; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, ул. Аделя Кутуя, 110Дк2;; 1; дизайнерский; Wi-Fi, телевидение;20 000; кондиционер, холодильник, плита, микроволновка, стиральная машина, водонагреватель, телевизор; 38.4 м²; 8 м²; совмещенный; 22 из 24;;
; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, ул. Восстания, 82Б;; студия; евро; Wi-Fi, телевидение;18 000; кондиционер, холодильник, плита, микроволновка, стиральная машина, телевизор; 30 м²;;; 22 из 24;;
 балкон; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, пр-т Ямашева, 31Б;; 2; косметический;;18 000; холодильник, плита, микроволновка, стиральная машина, телевизор; 46.1 м²; 9 м²; совмещенный; 3 из 5;; изолированные
;;Республика Татарстан, Казань, ул. Вишневского, 59Ак1; 25 м²; Своб. планировка; евро; телевизор;29 999; холодильник, стиральная машина; 52 м²;;; 12 из 20;;
;;Республика Татарстан, Казань, ул. Солидарности, 18;; 2; косметический;;18 000;; 37 м²; 5 м²;; 4 из 5;;
